Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1681689318.749	     1.472	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.00 &&          ./mzasolve 0.00 0.00 ./output/output_y0_0.00_z0_0.00/timeseries_y0_0.00_z0_0.00.nc > ./output/output_y0_0.00_z0_0.00/output_y0_0.00_z0_0.00.txt
8	:	1681689318.763	     3.200	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.14 &&          ./mzasolve 0.00 0.14 ./output/output_y0_0.00_z0_0.14/timeseries_y0_0.00_z0_0.14.nc > ./output/output_y0_0.00_z0_0.14/output_y0_0.00_z0_0.14.txt
4	:	1681689318.755	     3.266	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.06 &&          ./mzasolve 0.00 0.06 ./output/output_y0_0.00_z0_0.06/timeseries_y0_0.00_z0_0.06.nc > ./output/output_y0_0.00_z0_0.06/output_y0_0.00_z0_0.06.txt
7	:	1681689318.761	     3.412	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.12 &&          ./mzasolve 0.00 0.12 ./output/output_y0_0.00_z0_0.12/timeseries_y0_0.00_z0_0.12.nc > ./output/output_y0_0.00_z0_0.12/output_y0_0.00_z0_0.12.txt
6	:	1681689318.759	     3.483	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.10 &&          ./mzasolve 0.00 0.10 ./output/output_y0_0.00_z0_0.10/timeseries_y0_0.00_z0_0.10.nc > ./output/output_y0_0.00_z0_0.10/output_y0_0.00_z0_0.10.txt
2	:	1681689318.751	     3.527	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.02 &&          ./mzasolve 0.00 0.02 ./output/output_y0_0.00_z0_0.02/timeseries_y0_0.00_z0_0.02.nc > ./output/output_y0_0.00_z0_0.02/output_y0_0.00_z0_0.02.txt
3	:	1681689318.753	     3.555	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.04 &&          ./mzasolve 0.00 0.04 ./output/output_y0_0.00_z0_0.04/timeseries_y0_0.00_z0_0.04.nc > ./output/output_y0_0.00_z0_0.04/output_y0_0.00_z0_0.04.txt
5	:	1681689318.757	     3.575	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.08 &&          ./mzasolve 0.00 0.08 ./output/output_y0_0.00_z0_0.08/timeseries_y0_0.00_z0_0.08.nc > ./output/output_y0_0.00_z0_0.08/output_y0_0.00_z0_0.08.txt
12	:	1681689318.772	     5.733	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.22 &&          ./mzasolve 0.00 0.22 ./output/output_y0_0.00_z0_0.22/timeseries_y0_0.00_z0_0.22.nc > ./output/output_y0_0.00_z0_0.22/output_y0_0.00_z0_0.22.txt
9	:	1681689318.766	     6.182	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.16 &&          ./mzasolve 0.00 0.16 ./output/output_y0_0.00_z0_0.16/timeseries_y0_0.00_z0_0.16.nc > ./output/output_y0_0.00_z0_0.16/output_y0_0.00_z0_0.16.txt
10	:	1681689318.768	     6.900	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.18 &&          ./mzasolve 0.00 0.18 ./output/output_y0_0.00_z0_0.18/timeseries_y0_0.00_z0_0.18.nc > ./output/output_y0_0.00_z0_0.18/output_y0_0.00_z0_0.18.txt
11	:	1681689318.770	     6.953	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.20 &&          ./mzasolve 0.00 0.20 ./output/output_y0_0.00_z0_0.20/timeseries_y0_0.00_z0_0.20.nc > ./output/output_y0_0.00_z0_0.20/output_y0_0.00_z0_0.20.txt
13	:	1681689318.774	     7.006	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.24 &&          ./mzasolve 0.00 0.24 ./output/output_y0_0.00_z0_0.24/timeseries_y0_0.00_z0_0.24.nc > ./output/output_y0_0.00_z0_0.24/output_y0_0.00_z0_0.24.txt
14	:	1681689318.776	     7.046	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.26 &&          ./mzasolve 0.00 0.26 ./output/output_y0_0.00_z0_0.26/timeseries_y0_0.00_z0_0.26.nc > ./output/output_y0_0.00_z0_0.26/output_y0_0.00_z0_0.26.txt
15	:	1681689318.779	     7.192	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.28 &&          ./mzasolve 0.00 0.28 ./output/output_y0_0.00_z0_0.28/timeseries_y0_0.00_z0_0.28.nc > ./output/output_y0_0.00_z0_0.28/output_y0_0.00_z0_0.28.txt
16	:	1681689318.782	     7.279	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.30 &&          ./mzasolve 0.00 0.30 ./output/output_y0_0.00_z0_0.30/timeseries_y0_0.00_z0_0.30.nc > ./output/output_y0_0.00_z0_0.30/output_y0_0.00_z0_0.30.txt
17	:	1681689320.260	     5.951	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.32 &&          ./mzasolve 0.00 0.32 ./output/output_y0_0.00_z0_0.32/timeseries_y0_0.00_z0_0.32.nc > ./output/output_y0_0.00_z0_0.32/output_y0_0.00_z0_0.32.txt
18	:	1681689322.013	     4.401	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.34 &&          ./mzasolve 0.00 0.34 ./output/output_y0_0.00_z0_0.34/timeseries_y0_0.00_z0_0.34.nc > ./output/output_y0_0.00_z0_0.34/output_y0_0.00_z0_0.34.txt
19	:	1681689322.083	     4.545	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.36 &&          ./mzasolve 0.00 0.36 ./output/output_y0_0.00_z0_0.36/timeseries_y0_0.00_z0_0.36.nc > ./output/output_y0_0.00_z0_0.36/output_y0_0.00_z0_0.36.txt
20	:	1681689322.242	     4.418	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.38 &&          ./mzasolve 0.00 0.38 ./output/output_y0_0.00_z0_0.38/timeseries_y0_0.00_z0_0.38.nc > ./output/output_y0_0.00_z0_0.38/output_y0_0.00_z0_0.38.txt
21	:	1681689322.277	     4.427	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.40 &&          ./mzasolve 0.00 0.40 ./output/output_y0_0.00_z0_0.40/timeseries_y0_0.00_z0_0.40.nc > ./output/output_y0_0.00_z0_0.40/output_y0_0.00_z0_0.40.txt
22	:	1681689322.308	     4.426	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.42 &&          ./mzasolve 0.00 0.42 ./output/output_y0_0.00_z0_0.42/timeseries_y0_0.00_z0_0.42.nc > ./output/output_y0_0.00_z0_0.42/output_y0_0.00_z0_0.42.txt
23	:	1681689322.331	     4.432	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.44 &&          ./mzasolve 0.00 0.44 ./output/output_y0_0.00_z0_0.44/timeseries_y0_0.00_z0_0.44.nc > ./output/output_y0_0.00_z0_0.44/output_y0_0.00_z0_0.44.txt
24	:	1681689322.360	     4.433	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.46 &&          ./mzasolve 0.00 0.46 ./output/output_y0_0.00_z0_0.46/timeseries_y0_0.00_z0_0.46.nc > ./output/output_y0_0.00_z0_0.46/output_y0_0.00_z0_0.46.txt
25	:	1681689324.940	     3.208	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.48 &&          ./mzasolve 0.00 0.48 ./output/output_y0_0.00_z0_0.48/timeseries_y0_0.00_z0_0.48.nc > ./output/output_y0_0.00_z0_0.48/output_y0_0.00_z0_0.48.txt
26	:	1681689325.659	     3.078	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.50 &&          ./mzasolve 0.00 0.50 ./output/output_y0_0.00_z0_0.50/timeseries_y0_0.00_z0_0.50.nc > ./output/output_y0_0.00_z0_0.50/output_y0_0.00_z0_0.50.txt
27	:	1681689325.724	     3.161	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.52 &&          ./mzasolve 0.00 0.52 ./output/output_y0_0.00_z0_0.52/timeseries_y0_0.00_z0_0.52.nc > ./output/output_y0_0.00_z0_0.52/output_y0_0.00_z0_0.52.txt
28	:	1681689325.781	     3.215	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.54 &&          ./mzasolve 0.00 0.54 ./output/output_y0_0.00_z0_0.54/timeseries_y0_0.00_z0_0.54.nc > ./output/output_y0_0.00_z0_0.54/output_y0_0.00_z0_0.54.txt
30	:	1681689325.971	     3.097	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.58 &&          ./mzasolve 0.00 0.58 ./output/output_y0_0.00_z0_0.58/timeseries_y0_0.00_z0_0.58.nc > ./output/output_y0_0.00_z0_0.58/output_y0_0.00_z0_0.58.txt
29	:	1681689325.821	     3.296	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.56 &&          ./mzasolve 0.00 0.56 ./output/output_y0_0.00_z0_0.56/timeseries_y0_0.00_z0_0.56.nc > ./output/output_y0_0.00_z0_0.56/output_y0_0.00_z0_0.56.txt
31	:	1681689326.052	     3.148	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.60 &&          ./mzasolve 0.00 0.60 ./output/output_y0_0.00_z0_0.60/timeseries_y0_0.00_z0_0.60.nc > ./output/output_y0_0.00_z0_0.60/output_y0_0.00_z0_0.60.txt
32	:	1681689326.211	     3.900	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.62 &&          ./mzasolve 0.00 0.62 ./output/output_y0_0.00_z0_0.62/timeseries_y0_0.00_z0_0.62.nc > ./output/output_y0_0.00_z0_0.62/output_y0_0.00_z0_0.62.txt
33	:	1681689326.415	     3.713	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.64 &&          ./mzasolve 0.00 0.64 ./output/output_y0_0.00_z0_0.64/timeseries_y0_0.00_z0_0.64.nc > ./output/output_y0_0.00_z0_0.64/output_y0_0.00_z0_0.64.txt
34	:	1681689326.627	     3.523	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.66 &&          ./mzasolve 0.00 0.66 ./output/output_y0_0.00_z0_0.66/timeseries_y0_0.00_z0_0.66.nc > ./output/output_y0_0.00_z0_0.66/output_y0_0.00_z0_0.66.txt
35	:	1681689326.660	     3.508	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.68 &&          ./mzasolve 0.00 0.68 ./output/output_y0_0.00_z0_0.68/timeseries_y0_0.00_z0_0.68.nc > ./output/output_y0_0.00_z0_0.68/output_y0_0.00_z0_0.68.txt
36	:	1681689326.704	     3.494	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.70 &&          ./mzasolve 0.00 0.70 ./output/output_y0_0.00_z0_0.70/timeseries_y0_0.00_z0_0.70.nc > ./output/output_y0_0.00_z0_0.70/output_y0_0.00_z0_0.70.txt
37	:	1681689326.734	     3.486	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.72 &&          ./mzasolve 0.00 0.72 ./output/output_y0_0.00_z0_0.72/timeseries_y0_0.00_z0_0.72.nc > ./output/output_y0_0.00_z0_0.72/output_y0_0.00_z0_0.72.txt
38	:	1681689326.764	     3.475	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.74 &&          ./mzasolve 0.00 0.74 ./output/output_y0_0.00_z0_0.74/timeseries_y0_0.00_z0_0.74.nc > ./output/output_y0_0.00_z0_0.74/output_y0_0.00_z0_0.74.txt
39	:	1681689326.793	     3.463	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.76 &&          ./mzasolve 0.00 0.76 ./output/output_y0_0.00_z0_0.76/timeseries_y0_0.00_z0_0.76.nc > ./output/output_y0_0.00_z0_0.76/output_y0_0.00_z0_0.76.txt
